"trial","Ls","Lt1","Lt2","R"
0,30,0,50,1
0,30,0,50,0
0,30,0,50,0
0,30,0,50,1
0,30,0,50,0
0,30,0,55,0
0,30,0,55,0
0,30,0,55,0
0,30,0,55,1
0,30,0,57.5,0
0,30,0,57.5,0
0,30,0,57.5,0
0,30,0,57.5,0
0,30,2.5,47.5,0
0,30,2.5,47.5,1
0,30,2.5,47.5,0
0,30,2.5,47.5,0
0,30,2.5,47.5,1
0,30,2.5,47.5,0
0,30,2.5,47.5,0
0,30,2.5,47.5,0
0,30,2.5,47.5,0
0,30,2.5,47.5,0
0,30,2.5,52.5,1
0,30,2.5,52.5,1
0,30,2.5,55,1
0,30,2.5,55,1
0,30,2.5,55,0
0,30,2.5,55,0
0,30,2.5,60,0
0,30,2.5,60,0
0,30,2.5,60,0
0,30,2.5,60,1
0,30,2.5,60,0
0,30,2.5,60,0
0,30,2.5,60,0
0,30,5,45,0
0,30,5,50,0
0,30,5,50,0
0,30,5,50,0
0,30,5,52.5,1
0,30,5,52.5,0
0,30,5,52.5,0
0,30,5,52.5,0
0,30,5,52.5,0
0,30,5,57.5,1
0,30,5,57.5,0
0,30,5,57.5,1
0,30,5,57.5,0
0,30,5,60,0
0,30,5,60,0
0,30,5,60,1
0,30,5,60,0
0,30,7.5,42.5,0
0,30,7.5,42.5,0
0,30,7.5,42.5,0
0,30,7.5,42.5,1
0,30,7.5,42.5,0
0,30,7.5,42.5,0
0,30,7.5,42.5,0
0,30,7.5,42.5,0
0,30,7.5,47.5,1
0,30,7.5,47.5,0
0,30,7.5,50,1
0,30,7.5,50,0
0,30,7.5,50,0
0,30,7.5,50,0
0,30,7.5,50,0
0,30,7.5,50,1
0,30,7.5,50,0
0,30,7.5,55,0
0,30,7.5,55,1
0,30,7.5,55,0
0,30,7.5,55,1
0,30,7.5,55,1
0,30,7.5,55,0
0,30,7.5,57.5,0
0,30,10,40,1
0,30,10,45,0
0,30,10,45,0
0,30,10,45,0
0,30,10,45,0
0,30,10,45,1
0,30,10,47.5,0
0,30,10,47.5,0
0,30,10,52.5,0
0,30,10,52.5,0
0,30,10,52.5,0
0,30,10,52.5,1
0,30,10,55,0
0,30,10,55,0
0,30,10,55,0
0,30,10,60,0
0,30,10,60,0
0,30,10,60,0
0,30,10,60,0
0,30,12.5,37.5,1
0,30,12.5,37.5,0
0,30,12.5,37.5,0
0,30,12.5,37.5,0
0,30,12.5,37.5,0
0,30,12.5,42.5,1
0,30,12.5,42.5,0
0,30,12.5,42.5,0
0,30,12.5,42.5,0
0,30,12.5,45,1
0,30,12.5,45,0
0,30,12.5,45,0
0,30,12.5,50,0
0,30,12.5,50,1
0,30,12.5,50,1
0,30,12.5,50,1
0,30,12.5,52.5,1
0,30,12.5,52.5,0
0,30,12.5,57.5,0
0,30,12.5,57.5,0
0,30,12.5,57.5,0
0,30,12.5,57.5,0
0,30,12.5,57.5,1
0,30,12.5,57.5,0
0,30,12.5,57.5,0
0,30,12.5,57.5,0
0,30,15,35,0
0,30,15,35,0
0,30,15,40,0
0,30,15,40,0
0,30,15,42.5,0
0,30,15,47.5,0
0,30,15,47.5,0
0,30,15,47.5,0
0,30,15,47.5,0
0,30,15,47.5,0
0,30,15,47.5,0
0,30,15,47.5,0
0,30,15,50,0
0,30,15,50,0
0,30,15,50,0
0,30,15,55,1
0,30,15,55,0
0,30,15,55,0
0,30,15,55,1
0,30,15,55,0
0,30,15,55,1
0,30,17.5,32.5,0
0,30,17.5,32.5,1
0,30,17.5,37.5,1
0,30,17.5,37.5,1
0,30,17.5,37.5,0
0,30,17.5,37.5,1
0,30,17.5,37.5,0
0,30,17.5,40,0
0,30,17.5,40,0
0,30,17.5,40,0
0,30,17.5,40,0
0,30,17.5,40,0
0,30,17.5,45,0
0,30,17.5,45,1
0,30,17.5,45,0
0,30,17.5,47.5,0
0,30,17.5,47.5,0
0,30,17.5,47.5,1
0,30,17.5,47.5,0
0,30,17.5,47.5,1
0,30,17.5,47.5,0
0,30,17.5,47.5,0
0,30,17.5,47.5,0
0,30,17.5,52.5,0
0,30,17.5,52.5,0
0,30,20,35,1
0,30,20,35,0
0,30,20,35,1
0,30,20,37.5,0
0,30,20,37.5,1
0,30,20,37.5,0
0,30,20,42.5,0
0,30,20,42.5,0
0,30,20,42.5,0
0,30,20,42.5,0
0,30,20,45,1
0,30,20,50,1
0,30,20,50,1
0,30,20,50,0
0,30,20,50,0
0,30,22.5,32.5,0
0,30,22.5,35,0
0,30,22.5,35,1
0,30,22.5,35,1
0,30,22.5,35,0
0,30,22.5,40,0
0,30,22.5,40,1
0,30,22.5,40,0
0,30,22.5,40,1
0,30,22.5,40,0
0,30,22.5,40,1
0,30,22.5,42.5,0
0,30,22.5,42.5,0
0,30,22.5,42.5,0
0,30,22.5,42.5,1
0,30,22.5,47.5,0
0,30,22.5,47.5,0
0,30,25,30,0
0,30,25,30,1
0,30,25,30,0
0,30,25,30,0
0,30,25,30,1
0,30,25,30,0
0,30,25,32.5,0
0,30,25,32.5,0
0,30,25,32.5,1
0,30,25,32.5,0
0,30,25,32.5,1
0,30,25,32.5,0
0,30,25,37.5,0
0,30,25,37.5,0
0,30,25,37.5,1
0,30,25,37.5,0
0,30,25,37.5,0
0,30,25,40,0
0,30,25,40,0
0,30,25,40,1
0,30,25,45,1
0,30,25,45,1
0,30,25,45,0
0,30,27.5,30,0
0,30,27.5,30,0
0,30,27.5,30,0
0,30,27.5,30,0
0,30,27.5,30,0
0,30,27.5,30,0
0,30,27.5,35,0
0,30,27.5,35,0
0,30,27.5,35,0
0,30,27.5,35,1
0,30,27.5,35,0
0,30,27.5,35,0
0,30,27.5,37.5,0
0,30,27.5,37.5,1
0,30,27.5,37.5,1
0,30,27.5,37.5,1
0,30,27.5,37.5,1
0,30,27.5,37.5,1
0,30,27.5,42.5,1
0,30,27.5,42.5,1
0,30,27.5,42.5,1
0,30,27.5,42.5,1
0,30,30,35,1
0,30,30,35,1
0,30,30,35,0
0,30,30,35,1
0,30,30,35,0
0,30,30,40,1
0,30,30,40,1
0,40,10,60,0
0,40,10,60,0
0,40,10,60,0
0,40,10,65,0
0,40,10,65,0
0,40,10,65,0
0,40,10,65,0
0,40,10,65,0
0,40,10,67.5,0
0,40,10,67.5,0
0,40,10,67.5,0
0,40,10,67.5,1
0,40,10,67.5,0
0,40,12.5,57.5,0
0,40,12.5,57.5,1
0,40,12.5,57.5,0
0,40,12.5,57.5,0
0,40,12.5,57.5,0
0,40,12.5,57.5,0
0,40,12.5,57.5,0
0,40,12.5,62.5,1
0,40,12.5,62.5,0
0,40,12.5,62.5,1
0,40,12.5,62.5,0
0,40,12.5,62.5,0
0,40,12.5,70,1
0,40,12.5,70,0
0,40,12.5,70,1
0,40,12.5,70,0
0,40,12.5,70,0
0,40,12.5,70,0
0,40,12.5,70,0
0,40,12.5,70,0
0,40,15,55,1
0,40,15,55,0
0,40,15,55,0
0,40,15,60,1
0,40,15,60,0
0,40,15,60,0
0,40,15,60,0
0,40,15,62.5,0
0,40,15,62.5,0
0,40,15,62.5,0
0,40,15,62.5,0
0,40,15,67.5,0
0,40,15,67.5,0
0,40,15,70,0
0,40,15,70,0
0,40,15,70,1
0,40,15,70,0
0,40,17.5,52.5,1
0,40,17.5,57.5,0
0,40,17.5,57.5,0
0,40,17.5,57.5,0
0,40,17.5,57.5,0
0,40,17.5,60,0
0,40,17.5,60,0
0,40,17.5,65,0
0,40,17.5,65,1
0,40,17.5,65,1
0,40,17.5,67.5,0
0,40,17.5,67.5,1
0,40,17.5,67.5,1
0,40,17.5,67.5,1
0,40,17.5,67.5,0
0,40,17.5,67.5,0
0,40,20,50,0
0,40,20,50,0
0,40,20,50,0
0,40,20,55,0
0,40,20,55,1
0,40,20,55,1
0,40,20,55,0
0,40,20,55,0
0,40,20,57.5,1
0,40,20,57.5,0
0,40,20,57.5,0
0,40,20,57.5,0
0,40,20,57.5,1
0,40,20,57.5,0
0,40,20,57.5,0
0,40,20,57.5,1
0,40,20,62.5,0
0,40,20,62.5,1
0,40,20,62.5,0
0,40,20,62.5,1
0,40,20,62.5,0
0,40,20,62.5,0
0,40,20,62.5,0
0,40,20,62.5,0
0,40,20,62.5,0
0,40,20,62.5,1
0,40,20,62.5,1
0,40,20,62.5,1
0,40,20,62.5,0
0,40,20,65,0
0,40,20,65,0
0,40,20,65,0
0,40,20,65,1
0,40,20,65,0
0,40,20,65,0
0,40,20,65,0
0,40,20,65,0
0,40,20,65,0
0,40,20,65,0
0,40,20,70,1
0,40,20,70,1
0,40,20,70,0
0,40,20,70,1
0,40,20,70,0
0,40,20,70,0
0,40,20,70,1
0,40,22.5,47.5,0
0,40,22.5,47.5,0
0,40,22.5,47.5,1
0,40,22.5,47.5,0
0,40,22.5,47.5,0
0,40,22.5,55,0
0,40,22.5,55,0
0,40,22.5,55,0
0,40,22.5,55,0
0,40,22.5,55,0
0,40,22.5,60,0
0,40,22.5,62.5,0
0,40,22.5,67.5,0
0,40,22.5,67.5,1
0,40,22.5,67.5,1
0,40,22.5,67.5,1
0,40,25,45,0
0,40,25,45,0
0,40,25,45,0
0,40,25,45,0
0,40,25,45,0
0,40,25,45,0
0,40,25,45,0
0,40,25,45,0
0,40,25,50,0
0,40,25,50,0
0,40,25,50,0
0,40,25,50,0
0,40,25,52.5,1
0,40,25,52.5,1
0,40,25,52.5,1
0,40,25,57.5,0
0,40,25,57.5,0
0,40,25,57.5,1
0,40,25,57.5,1
0,40,25,60,0
0,40,25,60,0
0,40,25,65,1
0,40,25,65,0
0,40,25,65,1
0,40,25,65,1
0,40,25,65,1
0,40,25,65,1
0,40,25,65,0
0,40,25,65,1
0,40,25,65,1
0,40,25,65,1
0,40,27.5,42.5,0
0,40,27.5,42.5,0
0,40,27.5,42.5,0
0,40,27.5,42.5,1
0,40,27.5,47.5,1
0,40,27.5,47.5,0
0,40,27.5,47.5,0
0,40,27.5,47.5,0
0,40,27.5,50,0
0,40,27.5,50,1
0,40,27.5,50,0
0,40,27.5,50,0
0,40,27.5,55,0
0,40,27.5,57.5,1
0,40,27.5,57.5,1
0,40,27.5,57.5,1
0,40,27.5,62.5,0
0,40,27.5,62.5,1
0,40,27.5,62.5,1
0,40,30,40,0
0,40,30,40,0
0,40,30,40,0
0,40,30,40,0
0,40,30,40,0
0,40,30,40,0
0,40,30,40,1
0,40,30,40,0
0,40,30,45,0
0,40,30,45,0
0,40,30,45,0
0,40,30,45,0
0,40,30,45,0
0,40,30,47.5,0
0,40,30,47.5,0
0,40,30,47.5,0
0,40,30,47.5,1
0,40,30,52.5,0
0,40,30,52.5,1
0,40,30,52.5,0
0,40,30,52.5,1
0,40,30,52.5,1
0,40,30,52.5,0
0,40,30,52.5,0
0,40,30,52.5,0
0,40,30,52.5,1
0,40,30,52.5,0
0,40,30,55,1
0,40,30,55,1
0,40,30,55,1
0,40,30,55,1
0,40,30,55,0
0,40,30,55,0
0,40,30,55,1
0,40,30,55,1
0,40,30,60,1
0,40,30,60,1
0,40,30,60,1
0,40,30,60,1
0,40,32.5,42.5,0
0,40,32.5,42.5,1
0,40,32.5,42.5,0
0,40,32.5,42.5,0
0,40,32.5,42.5,1
0,40,32.5,42.5,0
0,40,32.5,42.5,1
0,40,32.5,45,0
0,40,32.5,45,0
0,40,32.5,45,1
0,40,32.5,45,1
0,40,32.5,45,0
0,40,32.5,50,1
0,40,32.5,50,1
0,40,32.5,50,0
0,40,32.5,50,1
0,40,32.5,50,0
0,40,32.5,50,1
0,40,32.5,50,1
0,40,32.5,50,1
0,40,32.5,50,1
0,40,32.5,52.5,0
0,40,32.5,52.5,1
0,40,32.5,52.5,0
0,40,32.5,52.5,1
0,40,32.5,52.5,1
0,40,32.5,52.5,1
0,40,32.5,52.5,0
0,40,32.5,52.5,1
0,40,32.5,52.5,1
0,40,32.5,52.5,1
0,40,32.5,57.5,1
0,40,32.5,57.5,1
0,40,32.5,57.5,0
0,40,35,40,0
0,40,35,40,1
0,40,35,40,0
0,40,35,40,0
0,40,35,40,0
0,40,35,40,0
0,40,35,42.5,0
0,40,35,42.5,0
0,40,35,42.5,0
0,40,35,42.5,0
0,40,35,42.5,1
0,40,35,42.5,0
0,40,35,42.5,1
0,40,35,42.5,0
0,40,35,42.5,0
0,40,35,47.5,0
0,40,35,47.5,1
0,40,35,47.5,0
0,40,35,47.5,1
0,40,35,47.5,0
0,40,35,47.5,1
0,40,35,47.5,0
0,40,35,50,0
0,40,35,50,0
0,40,35,50,1
0,40,35,50,0
0,40,35,55,1
0,40,35,55,1
0,40,35,55,0
0,40,35,55,1
0,40,35,55,1
0,40,35,55,1
0,40,35,55,0
0,40,35,55,0
0,40,37.5,40,1
0,40,37.5,40,1
0,40,37.5,40,0
0,40,37.5,40,0
0,40,37.5,40,1
0,40,37.5,40,1
0,40,37.5,40,1
0,40,37.5,40,0
0,40,37.5,40,0
0,40,37.5,40,0
0,40,37.5,40,1
0,40,37.5,45,0
0,40,37.5,45,1
0,40,37.5,45,1
0,40,37.5,45,1
0,40,37.5,45,0
0,40,37.5,45,1
0,40,37.5,47.5,1
0,40,37.5,47.5,0
0,40,37.5,47.5,1
0,40,37.5,47.5,1
0,40,37.5,47.5,1
0,40,37.5,47.5,1
0,40,37.5,47.5,1
0,40,37.5,47.5,1
0,40,37.5,47.5,0
0,40,37.5,47.5,1
0,40,37.5,47.5,1
0,40,37.5,47.5,1
0,40,37.5,52.5,1
0,40,37.5,52.5,1
0,40,37.5,52.5,0
0,40,37.5,52.5,1
0,40,37.5,52.5,0
0,40,37.5,52.5,1
0,40,37.5,52.5,0
0,40,37.5,52.5,0
0,40,40,42.5,1
0,40,40,42.5,0
0,40,40,42.5,1
0,40,40,42.5,1
0,40,40,42.5,1
0,40,40,45,0
0,40,40,45,1
0,40,40,45,1
0,40,40,45,1
0,40,40,45,1
0,40,40,45,1
0,40,40,50,1
0,40,40,50,1
0,40,40,50,1
0,40,40,50,1
0,40,40,50,0
0,40,40,50,0
0,40,40,50,1
0,40,40,50,1
0,50,20,70,0
0,50,20,70,0
0,50,20,70,0
0,50,20,70,0
0,50,20,75,0
0,50,20,75,0
0,50,20,77.5,1
0,50,20,77.5,0
0,50,20,77.5,0
0,50,20,77.5,1
0,50,22.5,67.5,0
0,50,22.5,67.5,0
0,50,22.5,72.5,0
0,50,22.5,75,0
0,50,22.5,75,0
0,50,22.5,75,0
0,50,22.5,75,0
0,50,22.5,75,0
0,50,22.5,80,0
0,50,22.5,80,0
0,50,22.5,80,1
0,50,22.5,80,0
0,50,25,65,0
0,50,25,65,0
0,50,25,65,0
0,50,25,65,0
0,50,25,70,0
0,50,25,70,0
0,50,25,70,0
